"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test case to verify if the user is able to logout","4136","test_verify_whether_user_able_to_logout","PythonSeleniumPractice.test","2025-12-26","passed","2025-12-26","TestHomePage","test_HomeTest","",""
"","3696","test_verify_reset","PythonSeleniumPractice.test","2025-12-26","passed","2025-12-26","TestNewsTest","test_NewsTest","",""
"","1745","test_login_invalid[user_3hb0ujey]","PythonSeleniumPractice.test","2025-12-26","passed","2025-12-26","TestLoginPage","test_LoginTest","",""
"Test to verify that a user can be searched.","13461","test_verify_search","PythonSeleniumPractice.test","2025-12-26","broken","2025-12-26","TestAdmin","test_AdminTest","",""
"","3265","test_verify_search_news[Top Selling Products]","PythonSeleniumPractice.test","2025-12-26","passed","2025-12-26","TestNewsTest","test_NewsTest","",""
"","4720","test_verify_add_news","PythonSeleniumPractice.test","2025-12-26","passed","2025-12-26","TestNewsTest","test_NewsTest","",""
"","0","test_login","PythonSeleniumPractice.pythonSeleniumBasics","2025-12-26","broken","2025-12-26","","test_demo1","",""
"","3421","test_verify_search_news[New Courses Offered]","PythonSeleniumPractice.test","2025-12-26","passed","2025-12-26","TestNewsTest","test_NewsTest","",""
"","4048","test_verify_search_news[Special Discounts]","PythonSeleniumPractice.test","2025-12-26","passed","2025-12-26","TestNewsTest","test_NewsTest","",""
"","3173","test_login_valid","PythonSeleniumPractice.test","2025-12-26","passed","2025-12-26","TestLoginPage","test_LoginTest","",""
"Test to verify that a user can be added.","4788","test_verify_able_to_add_user","PythonSeleniumPractice.test","2025-12-26","passed","2025-12-26","TestAdmin","test_AdminTest","",""
